claim_id,policy_id,accident_year,report_delay_months,claim_type,litigation_flag,ultimate_loss
CLM00000100,POL000517,2021,12,BI,0,200
CLM00000101,POL000518,2023,4,PD,0,1820.93
CLM00000102,POL000521,2019,4,BI,0,20621.42
CLM00000103,POL000528,2018,1,PD,0,200
CLM00000104,POL000529,2021,2,PD,0,7167.72
CLM00000105,POL000536,2020,9,BI,0,5563.8
CLM00000106,POL000537,2024,12,BI,1,6923.39
CLM00000107,POL000541,2021,1,PD,0,2621.09
CLM00000108,POL000546,2021,4,BI,0,1043.91
CLM00000109,POL000555,2021,9,PD,0,11297.49
CLM00000110,POL000555,2022,11,PD,0,29198.75
CLM00000111,POL000564,2023,10,PD,0,36163.42
CLM00000112,POL000567,2023,3,BI,0,2080.83
CLM00000113,POL000580,2021,4,PD,0,37738.5
CLM00000114,POL000580,2022,10,PD,0,24105.74
CLM00000115,POL000580,2022,9,BI,1,11966.91
CLM00000116,POL000582,2023,6,PD,0,5233.32
CLM00000117,POL000587,2020,2,PD,0,19880.7
CLM00000118,POL000587,2021,2,BI,0,200
CLM00000119,POL000591,2022,9,PD,0,7205.19
CLM00000120,POL000602,2022,16,BI,0,200
CLM00000121,POL000610,2024,10,PD,1,230
CLM00000122,POL000611,2020,3,PD,0,44269.08
CLM00000123,POL000614,2020,15,PD,0,10582.05
CLM00000124,POL000628,2020,15,BI,1,57234.47
CLM00000125,POL000633,2022,3,BI,0,200
CLM00000126,POL000643,2024,7,PD,0,34989.05
CLM00000127,POL000645,2022,4,PD,0,4402.67
CLM00000128,POL000645,2022,45,PD,0,1651.52
CLM00000129,POL000654,2023,6,PD,0,5100.99
CLM00000130,POL000671,2021,3,BI,0,6085.36
CLM00000131,POL000675,2020,3,BI,0,200
CLM00000132,POL000676,2021,8,PD,0,2495.53
CLM00000133,POL000683,2018,3,BI,0,4621.98
CLM00000134,POL000690,2024,45,BI,1,4947.28
CLM00000135,POL000695,2023,4,PD,0,2746.09
CLM00000136,POL000701,2024,6,BI,0,204720.7
CLM00000137,POL000720,2018,2,PD,0,200
CLM00000138,POL000727,2021,3,BI,0,4631.45
CLM00000139,POL000730,2023,4,BI,0,10873.62
CLM00000140,POL000732,2020,4,BI,0,200
CLM00000141,POL000752,2023,6,PD,0,8227.56
CLM00000142,POL000756,2018,17,PD,1,13356.66
CLM00000143,POL000762,2018,8,PD,0,320717.49
CLM00000144,POL000778,2018,7,BI,0,200
CLM00000145,POL000779,2019,5,BI,0,50879.42
CLM00000146,POL000780,2018,14,PD,0,3866.67
CLM00000147,POL000781,2018,5,BI,0,26342.98
CLM00000148,POL000782,2024,1,PD,0,51903.87
CLM00000149,POL000783,2020,9,PD,0,200
CLM00000150,POL000795,2022,15,PD,0,36316.45
CLM00000151,POL000796,2021,5,BI,0,123812.11
CLM00000152,POL000799,2018,5,PD,0,11162.38
CLM00000153,POL000803,2020,7,PD,0,200
CLM00000154,POL000803,2021,10,PD,0,200
CLM00000155,POL000813,2020,35,PD,0,1360.39
CLM00000156,POL000816,2019,9,BI,0,417.24
CLM00000157,POL000817,2020,4,BI,0,1315.32
CLM00000158,POL000831,2023,15,BI,0,1197.38
CLM00000159,POL000838,2019,6,PD,1,230
CLM00000160,POL000844,2023,3,PD,1,42116.69
CLM00000161,POL000844,2023,5,BI,0,3255.31
CLM00000162,POL000846,2018,5,BI,0,200
CLM00000163,POL000854,2024,8,BI,1,4052.28
CLM00000164,POL000860,2021,8,PD,0,200
CLM00000165,POL000860,2022,6,BI,0,200
CLM00000166,POL000863,2023,17,PD,0,771.08
CLM00000167,POL000864,2022,3,PD,0,13286.96
CLM00000168,POL000877,2020,2,PD,0,3144.24
CLM00000169,POL000881,2018,11,PD,0,200
CLM00000170,POL000882,2021,3,BI,1,4449.23
CLM00000171,POL000887,2023,5,BI,0,46421.3
CLM00000172,POL000888,2021,6,BI,0,200
CLM00000173,POL000898,2021,13,PD,0,11998.09
CLM00000174,POL000898,2022,3,PD,0,6265.9
CLM00000175,POL000900,2020,3,PD,0,38277.65
CLM00000176,POL000900,2020,21,PD,0,32245.38
CLM00000177,POL000902,2020,7,BI,0,4041.03
CLM00000178,POL000903,2020,1,BI,1,6087.88
CLM00000179,POL000904,2021,5,PD,0,55514.8
CLM00000180,POL000908,2023,10,BI,0,4725.2
CLM00000181,POL000909,2019,6,BI,1,230
CLM00000182,POL000920,2019,10,PD,0,14784.21
CLM00000183,POL000921,2024,2,BI,0,10422.03
CLM00000184,POL000922,2024,9,PD,0,6377.13
CLM00000185,POL000931,2018,3,PD,0,23285.87
CLM00000186,POL000935,2019,6,PD,0,72028.97
CLM00000187,POL000936,2021,6,PD,0,4753.35
CLM00000188,POL000939,2023,3,BI,0,2023.29
CLM00000189,POL000943,2021,4,PD,0,20096.25
CLM00000190,POL000947,2019,10,BI,0,3276.22
CLM00000191,POL000951,2022,9,BI,0,4087.63
CLM00000192,POL000953,2022,9,PD,0,122684.67
CLM00000193,POL000960,2020,7,BI,1,575694.07
CLM00000194,POL000969,2018,11,BI,0,87567.2
CLM00000195,POL000969,2019,9,PD,0,958.21
CLM00000196,POL000970,2020,14,PD,0,8910.29
CLM00000197,POL000972,2024,15,PD,0,2137.51
CLM00000198,POL000979,2023,13,BI,1,100113.9
CLM00000199,POL000980,2022,10,PD,0,200
CLM00000200,POL000981,2022,6,BI,0,103002.91
CLM00000201,POL000985,2018,7,BI,0,9261.82
CLM00000202,POL000992,2024,4,BI,0,2401.54
CLM00000203,POL000997,2019,22,BI,0,2052.91
CLM00000204,POL001004,2019,13,PD,0,3105.47
CLM00000205,POL001008,2024,6,PD,0,302879.96
CLM00000206,POL001010,2021,8,PD,0,6384.29
CLM00000207,POL001022,2019,11,PD,0,12743.19
CLM00000208,POL001027,2021,3,PD,0,200
CLM00000209,POL001030,2020,6,BI,0,200
CLM00000210,POL001030,2021,3,BI,0,10164
CLM00000211,POL001033,2022,6,PD,0,3499.55
CLM00000212,POL001037,2019,2,PD,0,200
CLM00000213,POL001048,2020,4,PD,0,4141.28
CLM00000214,POL001055,2018,3,BI,0,3582.27
CLM00000215,POL001069,2021,9,BI,1,486794.53
CLM00000216,POL001083,2023,8,BI,1,23427.97
CLM00000217,POL001084,2019,5,PD,0,13756.86
CLM00000218,POL001091,2020,14,PD,0,200
CLM00000219,POL001095,2019,3,BI,0,22146.49
CLM00000220,POL001095,2019,4,BI,0,200
CLM00000221,POL001100,2023,1,PD,0,21004.33
CLM00000222,POL001104,2024,2,BI,0,4922.83
CLM00000223,POL001104,2024,5,PD,0,3639.84
CLM00000224,POL001105,2020,9,PD,0,3421.3
CLM00000225,POL001106,2022,4,PD,0,200
CLM00000226,POL001108,2020,3,BI,0,200
CLM00000227,POL001113,2022,4,BI,0,200
CLM00000228,POL001115,2021,5,BI,0,13224.47
CLM00000229,POL001134,2023,4,BI,0,4407.27
CLM00000230,POL001135,2019,1,BI,0,62249.86
CLM00000231,POL001135,2019,3,PD,0,5869.12
CLM00000232,POL001144,2021,14,PD,0,200
CLM00000233,POL001144,2021,6,PD,1,230
CLM00000234,POL001151,2022,17,BI,0,200
CLM00000235,POL001153,2022,5,PD,0,10232.26
CLM00000236,POL001154,2024,10,BI,0,1060.29
CLM00000237,POL001164,2023,4,PD,0,344800.24
CLM00000238,POL001165,2019,11,BI,1,681.29
CLM00000239,POL001166,2024,7,BI,1,5068.52
CLM00000240,POL001168,2021,2,BI,0,39040.07
CLM00000241,POL001175,2020,2,BI,0,200
CLM00000242,POL001178,2021,16,PD,0,33657.46
CLM00000243,POL001179,2019,1,BI,1,230
CLM00000244,POL001179,2020,32,BI,1,4668.63
CLM00000245,POL001183,2018,3,PD,0,200
CLM00000246,POL001185,2018,2,PD,0,2333.14
CLM00000247,POL001194,2019,5,BI,1,2173.38
CLM00000248,POL001198,2021,2,BI,0,25669.2
CLM00000249,POL001199,2023,6,BI,0,39735.89
CLM00000250,POL001200,2020,9,PD,0,374647.11
CLM00000251,POL001200,2021,4,PD,0,12592.65
CLM00000252,POL001201,2019,9,PD,0,7791.39
CLM00000253,POL001202,2024,10,BI,0,55315.59
CLM00000254,POL001204,2021,5,PD,0,1815.41
CLM00000255,POL001216,2024,3,BI,1,320108.43
CLM00000256,POL001217,2022,8,BI,0,200
CLM00000257,POL001218,2022,2,BI,0,6763.54
CLM00000258,POL001221,2020,4,BI,1,2074.78
CLM00000259,POL001225,2018,6,BI,1,230
CLM00000260,POL001228,2024,4,BI,0,3563.59
CLM00000261,POL001231,2019,3,PD,0,47714.03
CLM00000262,POL001233,2020,6,BI,0,56069.91
CLM00000263,POL001234,2024,20,BI,0,96750.28
CLM00000264,POL001242,2021,7,PD,0,200
CLM00000265,POL001244,2024,3,PD,0,200
CLM00000266,POL001250,2020,6,PD,0,3797.83
CLM00000267,POL001254,2024,5,PD,0,27173.43
CLM00000268,POL001262,2020,6,PD,0,3513.49
CLM00000269,POL001264,2024,12,PD,0,200
CLM00000270,POL001267,2021,7,PD,0,299.97
CLM00000271,POL001267,2024,5,BI,0,8428.99
CLM00000272,POL001270,2023,28,BI,0,35622.52
CLM00000273,POL001272,2024,8,BI,0,4799.18
CLM00000274,POL001282,2020,2,PD,0,1159.04
CLM00000275,POL001290,2018,5,PD,0,69863.19
CLM00000276,POL001292,2021,5,PD,0,7226.73
CLM00000277,POL001292,2022,16,BI,0,1448.41
CLM00000278,POL001296,2019,1,BI,0,4191.35
CLM00000279,POL001297,2019,4,PD,0,5240.64
CLM00000280,POL001297,2021,8,PD,0,7780.08
CLM00000281,POL001301,2023,5,PD,0,2090.87
CLM00000282,POL001303,2020,4,BI,0,7899.55
CLM00000283,POL001303,2020,3,BI,0,2319.4
CLM00000284,POL001317,2020,9,PD,0,9874.84
CLM00000285,POL001322,2021,7,PD,0,78999.56
CLM00000286,POL001324,2023,2,PD,0,58088.97
CLM00000287,POL001326,2023,19,PD,0,200
CLM00000288,POL001333,2019,3,PD,0,52150.84
CLM00000289,POL001346,2021,3,PD,0,200
CLM00000290,POL001350,2024,5,PD,0,281.33
CLM00000291,POL001354,2021,6,PD,0,5648.95
CLM00000292,POL001358,2020,5,BI,0,2095.65
CLM00000293,POL001363,2020,10,PD,0,200
CLM00000294,POL001365,2024,11,BI,0,4953.19
CLM00000295,POL001369,2023,4,BI,0,5989.43
CLM00000296,POL001373,2023,1,BI,0,3288.98
CLM00000297,POL001375,2020,12,PD,0,2670.2
CLM00000298,POL001381,2018,3,PD,0,3476.09
CLM00000299,POL001382,2023,17,PD,0,336.89
CLM00000300,POL001394,2023,24,PD,0,7150.42
CLM00000301,POL001399,2018,13,BI,0,200
CLM00000302,POL001399,2019,4,BI,0,81682.17
CLM00000303,POL001408,2018,1,PD,0,2188.68
CLM00000304,POL001409,2019,3,PD,0,4094.98
CLM00000305,POL001411,2024,3,BI,0,200
CLM00000306,POL001413,2023,4,BI,0,6837.92
CLM00000307,POL001414,2020,2,BI,1,230
CLM00000308,POL001418,2023,3,BI,0,2925.45
CLM00000309,POL001419,2022,2,BI,0,1277.51
CLM00000310,POL001431,2021,3,PD,0,671656.8
CLM00000311,POL001444,2024,7,PD,0,261802.23
CLM00000312,POL001450,2023,3,PD,0,44337.22
CLM00000313,POL001450,2024,6,BI,0,200
CLM00000314,POL001453,2020,4,PD,0,11793.37
CLM00000315,POL001461,2019,9,PD,0,19755.16
CLM00000316,POL001479,2019,7,PD,0,272517.8
CLM00000317,POL001488,2021,4,BI,0,7218.56
CLM00000318,POL001493,2022,16,BI,1,1565.98
CLM00000319,POL001499,2021,4,BI,0,7303.16
CLM00000320,POL001502,2024,10,PD,0,200
CLM00000321,POL001508,2020,4,PD,0,200
CLM00000322,POL001514,2021,7,BI,0,9109.07
CLM00000323,POL001518,2022,4,PD,0,28879.99
CLM00000324,POL001525,2020,2,PD,0,3148.17
CLM00000325,POL001530,2023,5,PD,0,25017.38
CLM00000326,POL001534,2024,6,PD,0,2750.41
CLM00000327,POL001543,2020,3,BI,0,8375.41
CLM00000328,POL001545,2019,2,PD,1,52657.58
CLM00000329,POL001547,2021,6,PD,0,200
CLM00000330,POL001549,2024,2,PD,0,75622.74
CLM00000331,POL001551,2023,2,BI,0,200
CLM00000332,POL001561,2018,3,BI,1,2065.62
CLM00000333,POL001561,2019,8,PD,1,2851.81
CLM00000334,POL001566,2024,13,PD,0,37092.17
CLM00000335,POL001581,2023,6,PD,0,53201.58
CLM00000336,POL001587,2024,5,BI,0,21692.41
CLM00000337,POL001595,2023,5,PD,0,1703.95
CLM00000338,POL001599,2020,9,PD,0,200
CLM00000339,POL001613,2018,2,PD,0,200
CLM00000340,POL001620,2024,7,PD,0,62558.19
CLM00000341,POL001628,2023,2,PD,0,4610.37
CLM00000342,POL001630,2022,4,BI,0,7808.79
CLM00000343,POL001631,2023,6,PD,0,166550.13
CLM00000344,POL001636,2019,7,BI,0,3465.14
CLM00000345,POL001646,2022,6,PD,0,44944.25
CLM00000346,POL001654,2022,3,PD,0,2651.23
CLM00000347,POL001656,2021,18,PD,0,59998.69
CLM00000348,POL001656,2022,2,BI,0,167918.01
CLM00000349,POL001658,2023,5,BI,0,200
CLM00000350,POL001668,2019,4,PD,0,200
CLM00000351,POL001672,2019,6,BI,0,2460.93
CLM00000352,POL001674,2020,3,PD,0,4602.25
CLM00000353,POL001681,2019,4,PD,0,1441.64
CLM00000354,POL001682,2019,7,BI,0,26594.25
CLM00000355,POL001683,2020,8,BI,0,17351.98
CLM00000356,POL001690,2020,2,PD,0,53163.85
CLM00000357,POL001691,2023,7,PD,0,13196.77
CLM00000358,POL001692,2021,3,BI,0,556.07
CLM00000359,POL001694,2023,4,BI,1,29812.46
CLM00000360,POL001695,2019,3,PD,0,5626.63
CLM00000361,POL001706,2020,10,PD,0,68489.88
CLM00000362,POL001715,2020,8,PD,0,1136.49
CLM00000363,POL001717,2019,14,PD,0,33605.49
CLM00000364,POL001722,2024,3,BI,1,5629.15
CLM00000365,POL001729,2020,5,PD,0,6221.55
CLM00000366,POL001730,2024,8,BI,0,4323.3
CLM00000367,POL001731,2019,7,BI,0,788.18
CLM00000368,POL001733,2022,7,PD,0,97898.11
CLM00000369,POL001736,2018,4,PD,0,1081.36
CLM00000370,POL001739,2022,3,PD,0,4827.67
CLM00000371,POL001743,2024,11,PD,1,520537.13
CLM00000372,POL001749,2023,5,PD,0,15056.64
CLM00000373,POL001756,2021,3,PD,0,32831.13
CLM00000374,POL001758,2019,1,PD,0,41789.33
CLM00000375,POL001759,2022,7,BI,1,8355.86
CLM00000376,POL001765,2021,11,PD,0,4483.8
CLM00000377,POL001769,2020,9,PD,0,2506.25
CLM00000378,POL001779,2018,5,BI,0,8744.37
CLM00000379,POL001780,2018,2,BI,0,11288.78
CLM00000380,POL001780,2018,5,BI,1,9031.17
CLM00000381,POL001782,2023,8,PD,0,48093.07
CLM00000382,POL001785,2021,7,PD,0,52517.81
CLM00000383,POL001788,2018,7,PD,1,4989.96
CLM00000384,POL001792,2021,4,BI,0,15733.16
CLM00000385,POL001793,2021,2,BI,0,200
CLM00000386,POL001793,2022,10,PD,0,31436.53
CLM00000387,POL001796,2022,5,BI,0,775.04
CLM00000388,POL001797,2020,4,PD,0,200
CLM00000389,POL001797,2023,4,BI,0,200
CLM00000390,POL001799,2020,5,PD,1,47859.23
CLM00000391,POL001805,2020,17,BI,0,5627.02
CLM00000392,POL001806,2021,1,BI,1,1171.23
CLM00000393,POL001812,2021,8,BI,1,5828.09
CLM00000394,POL001813,2023,2,PD,0,5141.62
CLM00000395,POL001814,2021,3,PD,0,3723.02
CLM00000396,POL001823,2020,15,BI,1,10497.79
CLM00000397,POL001824,2023,2,PD,0,5150.58
CLM00000398,POL001836,2024,2,BI,0,5392.43
CLM00000399,POL001839,2020,17,PD,0,200
CLM00000400,POL001852,2024,5,PD,0,25796.12
CLM00000401,POL001862,2018,7,BI,0,9452.25
CLM00000402,POL001867,2020,2,BI,0,2359.61
CLM00000403,POL001874,2022,6,PD,0,40105.27
CLM00000404,POL001877,2020,4,PD,0,1480.25
CLM00000405,POL001884,2019,9,BI,1,10859.27
CLM00000406,POL001888,2023,7,BI,0,200
CLM00000407,POL001890,2022,5,BI,0,33964.95
CLM00000408,POL001891,2024,6,PD,0,200
CLM00000409,POL001898,2022,8,PD,0,4493.12
CLM00000410,POL001908,2020,5,PD,0,11440.71
CLM00000411,POL001927,2022,5,PD,0,23388.93
CLM00000412,POL001927,2023,5,PD,0,67443.28
CLM00000413,POL001932,2023,5,PD,0,3697.61
CLM00000414,POL001951,2021,2,PD,0,1167.42
CLM00000415,POL001952,2018,5,PD,0,1112.8
CLM00000416,POL001958,2022,12,PD,0,21754.32
CLM00000417,POL001959,2024,1,BI,1,9609.31
CLM00000418,POL001969,2023,8,PD,0,122520.37
CLM00000419,POL001971,2020,5,PD,0,200
CLM00000420,POL001975,2022,5,BI,0,7243.67
CLM00000421,POL001981,2018,11,PD,0,2691.57
CLM00000422,POL001993,2022,4,BI,0,1722.64
CLM00000423,POL002025,2018,3,PD,0,6591.47
CLM00000424,POL002040,2023,2,BI,0,10872.08
CLM00000425,POL002044,2022,3,PD,0,200
CLM00000426,POL002061,2024,6,BI,0,5731.92
CLM00000427,POL002063,2024,2,PD,0,6001.07
CLM00000428,POL002071,2024,10,PD,0,3605.69
CLM00000429,POL002075,2024,3,BI,1,1576.18
CLM00000430,POL002118,2024,5,PD,0,10386.18
CLM00000431,POL002126,2018,6,BI,0,54048.15
CLM00000432,POL002138,2018,7,PD,0,7208.39
CLM00000433,POL002143,2021,2,PD,0,251772.56
CLM00000434,POL002146,2024,8,PD,0,8076.37
CLM00000435,POL002147,2021,3,BI,0,3980.52
CLM00000436,POL002150,2024,3,PD,0,14682.82
CLM00000437,POL002156,2021,6,PD,0,58435.34
CLM00000438,POL002156,2023,22,PD,0,200
CLM00000439,POL002156,2023,3,BI,0,200
CLM00000440,POL002165,2024,4,BI,0,933.38
CLM00000441,POL002168,2023,10,BI,0,12184.41
CLM00000442,POL002172,2022,2,PD,0,7197.44
CLM00000443,POL002179,2019,6,BI,1,141830.96
CLM00000444,POL002181,2024,5,PD,0,50914.57
CLM00000445,POL002189,2018,5,BI,1,230
CLM00000446,POL002189,2019,10,PD,0,6464.02
CLM00000447,POL002189,2021,4,BI,0,2186.79
CLM00000448,POL002189,2021,17,PD,0,2644.6
CLM00000449,POL002189,2021,3,PD,0,22058.67
CLM00000450,POL002190,2021,8,PD,1,84878.12
CLM00000451,POL002204,2022,7,BI,1,1492.82
CLM00000452,POL002218,2022,3,BI,1,6237.41
CLM00000453,POL002222,2019,21,PD,0,3664.53
CLM00000454,POL002222,2019,4,BI,0,1504.12
CLM00000455,POL002222,2020,13,BI,0,3161.51
CLM00000456,POL002235,2024,9,PD,0,18530.81
CLM00000457,POL002248,2021,2,BI,0,200
CLM00000458,POL002250,2022,1,PD,1,6054.62
CLM00000459,POL002251,2024,1,BI,1,3529.88
CLM00000460,POL002256,2024,10,PD,0,1201.42
CLM00000461,POL002262,2023,14,BI,0,200
CLM00000462,POL002262,2024,2,PD,0,200
CLM00000463,POL002269,2019,4,PD,0,258261
CLM00000464,POL002271,2024,1,PD,0,2035.76
CLM00000465,POL002272,2020,2,BI,0,19096.8
CLM00000466,POL002277,2020,16,BI,1,5079.98
CLM00000467,POL002284,2024,9,PD,1,6770
CLM00000468,POL002285,2022,3,PD,0,5060.97
CLM00000469,POL002288,2023,9,BI,0,1018.25
CLM00000470,POL002291,2018,10,PD,0,314174.21
CLM00000471,POL002294,2022,9,BI,0,18404.48
CLM00000472,POL002302,2021,5,BI,0,200
CLM00000473,POL002312,2023,7,PD,1,138999.66
CLM00000474,POL002314,2021,3,BI,1,17307.16
CLM00000475,POL002323,2022,6,PD,0,44353.5
CLM00000476,POL002324,2018,18,PD,0,4698.61
CLM00000477,POL002328,2020,2,BI,0,200
CLM00000478,POL002337,2022,5,PD,0,3852.36
CLM00000479,POL002340,2023,5,BI,0,200
CLM00000480,POL002345,2023,10,BI,0,61664.22
CLM00000481,POL002350,2024,2,PD,1,3607.89
CLM00000482,POL002353,2023,8,PD,0,3072.37
CLM00000483,POL002363,2021,3,BI,0,21999.16
CLM00000484,POL002365,2021,4,PD,0,110878.84
CLM00000485,POL002365,2021,10,BI,1,6219.8
CLM00000486,POL002374,2023,5,BI,0,200
CLM00000487,POL002379,2024,3,BI,0,2585.95
CLM00000488,POL002386,2020,6,PD,0,1300.45
CLM00000489,POL002391,2024,6,PD,0,2567
CLM00000490,POL002396,2024,4,PD,0,7640.95
CLM00000491,POL002399,2022,7,PD,0,3728.98
CLM00000492,POL002424,2021,2,BI,1,57055.87
CLM00000493,POL002425,2019,9,BI,0,13682.9
CLM00000494,POL002426,2024,4,BI,0,29712.25
CLM00000495,POL002428,2020,6,BI,0,89201.14
CLM00000496,POL002432,2023,7,PD,1,7687.47
CLM00000497,POL002432,2024,4,PD,0,1438.29
CLM00000498,POL002434,2020,5,PD,1,4859.94
CLM00000499,POL002440,2019,2,PD,0,15714.66
CLM00000500,POL002453,2023,3,PD,0,82078.76
CLM00000501,POL002454,2023,8,PD,0,90481.3
CLM00000502,POL002456,2019,4,BI,0,200
CLM00000503,POL002463,2022,9,BI,1,1430.53
CLM00000504,POL002466,2022,3,BI,0,1166.32
CLM00000505,POL002469,2021,15,BI,0,67390.02
CLM00000506,POL002469,2021,1,PD,0,3483.43
CLM00000507,POL002471,2019,5,BI,0,6977.44
CLM00000508,POL002475,2021,8,BI,0,35510.98
CLM00000509,POL002479,2024,10,PD,0,518.38
CLM00000510,POL002488,2019,2,PD,1,52737.53
CLM00000511,POL002489,2024,8,BI,0,200
CLM00000512,POL002492,2023,10,BI,0,200
CLM00000513,POL002498,2023,7,PD,0,6807.04
CLM00000514,POL002501,2024,8,PD,0,849837.31
CLM00000515,POL002511,2022,1,BI,0,38491.02
CLM00000516,POL002513,2022,7,PD,0,42501.08
CLM00000517,POL002517,2024,1,BI,0,9610.06
CLM00000518,POL002520,2022,3,PD,1,6426.42
CLM00000519,POL002522,2022,10,BI,0,18088.15
CLM00000520,POL002524,2024,5,PD,0,220436.75
CLM00000521,POL002529,2023,2,PD,0,4580.07
CLM00000522,POL002530,2023,9,BI,0,220712.06
CLM00000523,POL002537,2023,4,PD,0,200
CLM00000524,POL002539,2024,2,BI,0,4548.53
CLM00000525,POL002540,2019,5,PD,0,8369.73
CLM00000526,POL002544,2023,6,PD,0,2387.16
CLM00000527,POL002546,2021,6,BI,0,200
