policy_id,insured_name,naics_code,naics_description,state,territory,employees,payroll,revenue,years_in_business,prior_claims,coverage_limit,deductible,latent_risk_factor,industry_risk_factor
POL000039,Insured REUIYDRZ,452319,Retail,TX,South,10,404286.46,1671077.87,15,0,2e+06,2500,0.5587,1.05
POL000040,Insured EVWEKXVM,621111,Physician Offices,WA,West,11,660633.46,2500703.22,15,3,1e+06,1000,1.1883,0.95
POL000041,Insured ZEYBUHHH,452319,Retail,FL,South,38,3355980.8,14825926.05,2,0,2e+06,10000,0.741,1.05
POL000042,Insured YYEFWAVI,452319,Retail,NC,South,16,1761341.04,5585887.62,17,2,1e+06,1000,0.6837,1.05
POL000043,Insured BQCSXEGF,236220,Construction,NC,South,26,999940.63,1751958.73,22,1,1e+06,5000,1.07,1.35
POL000044,Insured EZKAKBJG,621111,Physician Offices,WA,West,32,2876385.01,10972672.71,15,1,5e+06,2500,1.4959,0.95
POL000045,Insured XNNGDEUJ,452319,Retail,CA,West,19,1581010.61,6170502.54,5,2,1e+06,5000,0.7043,1.05
POL000046,Insured DTWNPBVD,236220,Construction,IL,Midwest,29,3581298.61,5943817.47,25,4,1e+06,5000,1.1524,1.35
POL000047,Insured KFJMMGQZ,452319,Retail,WA,West,138,15497877.29,38077134.34,29,1,1e+06,2500,0.9579,1.05
POL000048,Insured TIYNJQSJ,722511,Restaurants,IL,Midwest,21,2604704.63,8011177.37,5,0,2e+06,10000,1.6527,1.15
POL000049,Insured WJEQMEMF,236220,Construction,WA,West,22,1511091.04,4556488.76,11,2,2e+06,2500,0.6705,1.35
POL000050,Insured OAGERMFH,812112,Beauty Salons,NC,South,3,234284.84,422416.28,17,3,1e+06,10000,1.39,1.1
POL000051,Insured ZDCNJSFC,541330,Engineering Services,FL,South,113,5578203.14,20097218.84,3,1,2e+06,25000,0.7608,0.85
POL000052,Insured AXLSNSMB,722511,Restaurants,AZ,West,30,2477931.07,6383100.66,3,0,1e+06,2500,1.4279,1.15
POL000053,Insured YFSMXAXX,611110,Schools,FL,South,128,12825960.14,25031832.25,13,1,2e+06,1000,1.7052,0.9
POL000054,Insured JNFEAPWW,452319,Retail,PA,Northeast,8,398013.63,1586227.22,61,0,1e+06,10000,2.1493,1.05
POL000055,Insured BBEOGIMN,452319,Retail,CA,West,13,1531385.13,5607044.48,14,0,1e+06,10000,0.6898,1.05
POL000056,Insured BTMQFIFY,541330,Engineering Services,IL,Midwest,25,1361087.81,2168300.28,41,1,1e+06,2500,0.9554,0.85
POL000057,Insured LSOZDXWC,452319,Retail,FL,South,11,950823.57,3143262.71,14,0,1e+06,25000,0.8655,1.05
POL000058,Insured FPHMIUNT,621111,Physician Offices,AZ,West,27,2683189.88,11938159.87,10,0,5e+06,1000,1.1324,0.95
POL000059,Insured KRFPCUGD,812112,Beauty Salons,NC,South,49,5919366.51,8928848.62,21,1,1e+06,5000,0.651,1.1
POL000060,Insured WIUUSXGX,236220,Construction,GA,South,24,2435294.65,4552391.38,25,0,1e+06,1000,1.0979,1.35
POL000061,Insured KRERJQYQ,236220,Construction,IL,Midwest,32,2012903.16,8090214.19,8,1,1e+06,2500,0.7736,1.35
POL000062,Insured JUWQBURZ,812112,Beauty Salons,IL,Midwest,13,1347452.86,3352748.64,17,2,1e+06,10000,1.0614,1.1
POL000063,Insured TJJXNWBZ,541330,Engineering Services,NY,Northeast,3,227902.33,352877.29,24,0,2e+06,25000,0.6993,0.85
POL000064,Insured MARZNOKT,452319,Retail,TX,South,39,3174722.28,9409198.68,7,1,5e+06,5000,1.5813,1.05
POL000065,Insured OGIDBEPU,452319,Retail,AZ,West,21,1155674.6,2524902.08,30,0,2e+06,1000,1.0362,1.05
POL000066,Insured BJGZAONS,812112,Beauty Salons,NC,South,70,6179732.34,24632313,20,2,2e+06,10000,0.7403,1.1
POL000067,Insured MMCTUYUS,236220,Construction,IL,Midwest,25,1930378.51,3785148.08,33,1,1e+06,1000,1.0728,1.35
POL000068,Insured IKBJNGWJ,812112,Beauty Salons,NC,South,64,4234706.44,10219297.74,10,1,1e+06,2500,1.5394,1.1
POL000069,Insured HZWFIVKU,621111,Physician Offices,TX,South,16,1799134.55,5133804.58,4,0,2e+06,1000,0.6775,0.95
POL000070,Insured JIGABYNM,236220,Construction,AZ,West,7,796853.46,2474428.48,15,1,1e+06,5000,0.6349,1.35
POL000071,Insured PJJKWRHN,611110,Schools,AZ,West,33,2384279.04,9531996.39,14,0,1e+06,10000,2.0127,0.9
POL000072,Insured QMOSZPSD,621111,Physician Offices,AZ,West,35,3514728.55,9943818.37,23,2,1e+06,2500,1.4011,0.95
POL000073,Insured UIKTSBUY,236220,Construction,FL,South,12,1321416.36,2890315.46,24,0,2e+06,2500,1.3464,1.35
POL000074,Insured QZGSUNBY,812112,Beauty Salons,CA,West,77,5006080.89,18699219.8,25,2,1e+06,2500,1.1207,1.1
POL000075,Insured RPYADMSC,812112,Beauty Salons,CA,West,23,1909520.46,8464661.38,14,0,1e+06,10000,0.8789,1.1
POL000076,Insured FAHMWCRX,236220,Construction,NY,Northeast,108,10106175.34,39834741.84,4,1,1e+06,10000,1.208,1.35
POL000077,Insured CABWZKKZ,621111,Physician Offices,AZ,West,43,1771935.61,4886913.81,11,0,1e+06,10000,0.8987,0.95
POL000078,Insured EYGOMEME,611110,Schools,CA,West,32,1928802.88,8095023.17,4,1,1e+06,5000,0.9867,0.9
POL000079,Insured EBOCWJET,452319,Retail,WA,West,21,1838828.47,6525947.83,5,1,1e+06,1000,1.0632,1.05
POL000080,Insured PROADCRY,621111,Physician Offices,AZ,West,39,4494529.77,7350454.43,13,1,2e+06,2500,1.1176,0.95
POL000081,Insured PQPECKPA,452319,Retail,FL,South,6,719951.17,2395233.66,37,0,2e+06,10000,1.309,1.05
POL000082,Insured CTDTRYPL,812112,Beauty Salons,NY,Northeast,24,2649087.44,9842691.49,46,2,2e+06,1000,0.6578,1.1
POL000083,Insured LLWIMLMX,541330,Engineering Services,IL,Midwest,22,1246368.29,2792874.94,18,0,1e+06,5000,1.7331,0.85
POL000084,Insured CJGHOKCC,611110,Schools,TX,South,61,2534452.42,8193860.17,5,1,2e+06,5000,0.8812,0.9
POL000085,Insured GIKKRZXN,611110,Schools,FL,South,22,2005847.28,6667293.35,26,0,1e+06,25000,0.8155,0.9
POL000086,Insured ECESACAF,236220,Construction,PA,Northeast,55,5689854.65,17414082.44,12,3,1e+06,10000,0.9331,1.35
POL000087,Insured FMTBIAXX,621111,Physician Offices,CA,West,18,2153397.91,4544327.85,9,0,5e+06,2500,1.2429,0.95
POL000088,Insured MMFEIXYA,541330,Engineering Services,IL,Midwest,33,4116510.64,8492062.03,15,1,2e+06,10000,0.7606,0.85
POL000089,Insured LTDVIXFB,812112,Beauty Salons,FL,South,59,5099355.98,19551123.14,7,1,5e+06,10000,1.1191,1.1
POL000090,Insured UFPXJMMU,236220,Construction,CA,West,20,2320964.71,5531156.75,21,2,1e+06,2500,1.3792,1.35
POL000091,Insured GJXTQPZU,236220,Construction,PA,Northeast,37,3896782.13,8216844.8,22,1,5e+06,10000,1.1265,1.35
POL000092,Insured FQSQBHOM,621111,Physician Offices,WA,West,17,723934.16,1740177.4,12,0,1e+06,2500,0.9785,0.95
POL000093,Insured MYBHJLIE,611110,Schools,PA,Northeast,14,1005160.62,4214463.89,11,1,2e+06,5000,0.7788,0.9
POL000094,Insured HOANWWNR,452319,Retail,CA,West,8,450533.29,1714924.96,3,1,1e+06,2500,0.8035,1.05
POL000095,Insured RNHXQNXK,236220,Construction,PA,Northeast,5,600389.39,1969604.13,12,0,1e+06,2500,1.235,1.35
POL000096,Insured CKWBWWHJ,541330,Engineering Services,CA,West,52,3883086.53,8312385.98,13,1,1e+06,10000,1.0474,0.85
POL000097,Insured UVYHGUGU,621111,Physician Offices,NC,South,78,3864916.02,6594737.67,7,3,5e+06,10000,1.0778,0.95
POL000098,Insured LPEFRJSL,812112,Beauty Salons,NC,South,30,2707277.73,10041535.48,25,3,2e+06,5000,0.9434,1.1
POL000099,Insured YXJCPWDK,236220,Construction,WA,West,196,13989542.27,62554987.98,10,1,1e+06,2500,1.1702,1.35
POL000100,Insured WFBLOAME,452319,Retail,AZ,West,7,653161.45,1447863.62,39,0,1e+06,5000,0.9468,1.05
POL000101,Insured SRLTBXKJ,452319,Retail,GA,South,79,4345780.19,17749621.12,9,3,5e+06,1000,1.7302,1.05
POL000102,Insured KSMBOQXY,621111,Physician Offices,FL,South,6,440981.45,1119413.46,8,0,1e+06,2500,0.874,0.95
POL000103,Insured POMRZFYV,452319,Retail,WA,West,5,397903.87,628054.55,21,0,2e+06,10000,0.894,1.05
POL000104,Insured IUNCRNIK,452319,Retail,IL,Midwest,18,2128654.13,8632354.68,9,1,1e+06,2500,1.1276,1.05
POL000105,Insured GCPOYXCT,236220,Construction,CA,West,85,8939375.5,27580221.09,7,0,1e+06,5000,1.1617,1.35
POL000106,Insured VIERSQIS,722511,Restaurants,FL,South,55,3616707,15333958.71,6,1,2e+06,2500,0.8449,1.15
POL000107,Insured WSJQXNGC,621111,Physician Offices,TX,South,19,1197449.33,2309655.98,15,2,1e+06,10000,1.1337,0.95
POL000108,Insured YUSDFXJH,541330,Engineering Services,NY,Northeast,52,3783956,16324967.83,17,0,2e+06,1000,0.9643,0.85
POL000109,Insured TTJHVHED,611110,Schools,FL,South,7,832556.03,2136671.97,6,0,1e+06,5000,0.7742,0.9
POL000110,Insured DYWICDQQ,452319,Retail,TX,South,5,615701.93,1942136.32,22,0,1e+06,5000,1.0146,1.05
POL000111,Insured FFBEWWEJ,541330,Engineering Services,NY,Northeast,10,1064834.12,3478852.43,21,0,1e+06,2500,1.0596,0.85
POL000112,Insured LQIBLMBT,452319,Retail,IL,Midwest,55,2843140.78,6518360.34,10,1,1e+06,1000,1.1757,1.05
POL000113,Insured XHQKPKJO,236220,Construction,PA,Northeast,32,3564803.83,9464098.05,15,0,1e+06,10000,0.8767,1.35
POL000114,Insured JNLTLSXE,541330,Engineering Services,CA,West,67,7141566.35,22070788.68,14,2,2e+06,1000,0.9001,0.85
POL000115,Insured OEONPGOH,611110,Schools,IL,Midwest,18,2088092.21,6924333.89,9,1,1e+06,10000,0.7271,0.9
POL000116,Insured KXGULSZI,452319,Retail,NY,Northeast,6,283401.45,488903.87,9,1,5e+06,1000,1.3485,1.05
POL000117,Insured BQMOZRWK,722511,Restaurants,NY,Northeast,34,3514122.34,5955889.16,4,0,5e+06,1000,0.7765,1.15
POL000118,Insured DVJTDPSH,621111,Physician Offices,FL,South,13,1168450.32,1825227.02,27,1,1e+06,1000,0.9044,0.95
POL000119,Insured HARSPZDR,722511,Restaurants,IL,Midwest,22,1122462.71,2982392.81,13,0,1e+06,10000,0.9184,1.15
POL000120,Insured PTAWOBMB,236220,Construction,NY,Northeast,30,2829553.15,8278795.64,4,1,1e+06,2500,1.2754,1.35
POL000121,Insured GABMIXZX,621111,Physician Offices,FL,South,14,1585905.01,6543080.58,28,1,2e+06,10000,0.5018,0.95
POL000122,Insured TANMBKXH,722511,Restaurants,IL,Midwest,11,574753.16,1123807,6,1,2e+06,1000,1.0657,1.15
POL000123,Insured DOHUDRDZ,621111,Physician Offices,PA,Northeast,15,1318626.78,4400052.57,15,0,1e+06,10000,0.9064,0.95
POL000124,Insured WGOIEJAW,452319,Retail,NY,Northeast,29,1441709.17,3940760.04,4,1,1e+06,25000,1.9099,1.05
POL000125,Insured NQSUPTTX,722511,Restaurants,NY,Northeast,8,926382.36,3680060.6,15,1,2e+06,10000,1.1344,1.15
POL000126,Insured XAWWKKBY,621111,Physician Offices,AZ,West,7,400485.13,1239866.01,27,1,1e+06,1000,1.0739,0.95
POL000127,Insured MNVUTYIC,452319,Retail,FL,South,31,3528288.11,10999603.42,51,1,5e+06,5000,0.7655,1.05
POL000128,Insured LKYAXVUU,812112,Beauty Salons,NY,Northeast,33,1376526.84,3342039.01,17,2,1e+06,1000,1.0009,1.1
POL000129,Insured HMANCHIK,541330,Engineering Services,WA,West,20,1199756.34,4278315.06,9,0,1e+06,2500,0.5005,0.85
POL000130,Insured VLIVJXJN,236220,Construction,IL,Midwest,6,259658.37,1144325.39,21,1,1e+06,2500,1.2376,1.35
POL000131,Insured HXQXNMJH,236220,Construction,TX,South,59,6559117.29,9954124.62,14,1,2e+06,10000,0.6674,1.35
POL000132,Insured XEFSXOMI,236220,Construction,TX,South,14,1633848.19,3100001.3,12,0,1e+06,2500,0.7462,1.35
POL000133,Insured JTLVPBFQ,236220,Construction,TX,South,3,285623.53,1204186.18,44,0,2e+06,2500,0.8192,1.35
POL000134,Insured MGPTCSZD,236220,Construction,GA,South,13,1118848.89,3818780.56,21,0,1e+06,2500,1.058,1.35
POL000135,Insured NCWIXYLP,452319,Retail,FL,South,46,3038718.65,6589212.22,36,1,2e+06,1000,0.9462,1.05
POL000136,Insured AAYGRTNE,621111,Physician Offices,CA,West,17,1323537.29,4493958.61,8,1,5e+06,5000,0.978,0.95
POL000137,Insured UGJGLCSQ,541330,Engineering Services,AZ,West,4,381382.06,1248105.4,19,0,2e+06,1000,1.032,0.85
POL000138,Insured MEKQBROW,452319,Retail,GA,South,27,1597401.95,3056226.14,11,0,5e+06,10000,1.052,1.05
POL000139,Insured XBMKLHRP,722511,Restaurants,TX,South,81,4009561.9,6435008.94,14,2,2e+06,2500,0.6718,1.15
POL000140,Insured DZROZNOC,621111,Physician Offices,TX,South,22,1733710.66,4713591.86,35,0,1e+06,1000,1.074,0.95
POL000141,Insured RKFGJVRD,621111,Physician Offices,AZ,West,22,1918302.87,7548914.74,34,2,1e+06,2500,1.045,0.95
POL000142,Insured IPURNOGF,236220,Construction,PA,Northeast,15,1300428.59,3496812.08,10,0,1e+06,5000,0.9717,1.35
POL000143,Insured PGPIQATK,541330,Engineering Services,GA,South,14,817978.03,2324747.98,17,1,1e+06,1000,0.7305,0.85
POL000144,Insured JVFDQSQR,722511,Restaurants,AZ,West,73,3930816.85,16988541.59,16,1,2e+06,10000,1.2763,1.15
POL000145,Insured SVLLWRXZ,722511,Restaurants,AZ,West,5,465812.35,1689569.36,22,0,1e+06,2500,1.3874,1.15
POL000146,Insured TQIBIPJP,236220,Construction,AZ,West,42,2445420.3,6905352.65,3,2,1e+06,1000,1.8742,1.35
POL000147,Insured SQWZOTDN,722511,Restaurants,TX,South,19,1883102.84,4466845.78,65,2,2e+06,1000,0.9306,1.15
POL000148,Insured SZLGDVXM,541330,Engineering Services,IL,Midwest,85,9573356.79,43047381.06,20,1,1e+06,5000,1.1564,0.85
POL000149,Insured GGWUCIRD,722511,Restaurants,TX,South,14,1141927.72,5038938.38,5,0,1e+06,10000,1.0496,1.15
POL000150,Insured BHAEKBVF,452319,Retail,CA,West,72,8294602.02,35868860.23,10,0,2e+06,2500,0.4886,1.05
POL000151,Insured BKAROIQI,722511,Restaurants,NY,Northeast,19,2113099.76,3885794.86,7,0,1e+06,1000,1.1112,1.15
POL000152,Insured VGPZZDZW,452319,Retail,NC,South,14,722830.28,1498639.97,20,1,2e+06,1000,1.2932,1.05
POL000153,Insured PCOGFWDH,541330,Engineering Services,IL,Midwest,22,2461532.91,4069475.58,10,1,1e+06,1000,0.3721,0.85
POL000154,Insured ZDJGBVIV,611110,Schools,NY,Northeast,8,456953.22,1712629.58,22,0,1e+06,2500,0.7141,0.9
POL000155,Insured VFNYQYEJ,611110,Schools,NC,South,12,1059060.55,3763678.27,23,0,2e+06,1000,1.552,0.9
POL000156,Insured VXBBZXFM,452319,Retail,NC,South,31,1671302.01,6891412.8,35,2,1e+06,5000,1.5015,1.05
POL000157,Insured HYDUHNEN,722511,Restaurants,PA,Northeast,8,736296.65,2912375.19,13,2,2e+06,5000,1.3452,1.15
POL000158,Insured QJYIPJAM,611110,Schools,NY,Northeast,11,738790.27,1359562.51,7,0,1e+06,5000,1.4293,0.9
POL000159,Insured GMTAWGEY,541330,Engineering Services,IL,Midwest,61,6533948.36,13172440.66,24,2,2e+06,2500,0.9313,0.85
POL000160,Insured UREPUATV,621111,Physician Offices,NC,South,12,763030.55,3007862.38,10,0,1e+06,2500,0.8784,0.95
POL000161,Insured PCOIOEFT,621111,Physician Offices,WA,West,14,1393198.24,3399078.4,12,1,2e+06,25000,0.6713,0.95
POL000162,Insured YGUKLUDG,621111,Physician Offices,CA,West,25,1922738.47,4082119.51,23,0,1e+06,1000,1.5897,0.95
POL000163,Insured OSIUWARF,452319,Retail,TX,South,16,1537832.11,3400086.61,9,1,1e+06,2500,0.9059,1.05
POL000164,Insured ENOVFFSX,722511,Restaurants,PA,Northeast,9,546544.73,1052204.94,16,1,1e+06,1000,0.9211,1.15
POL000165,Insured EDFTXZYC,452319,Retail,FL,South,71,7388404.42,27203787.74,27,0,1e+06,5000,0.9456,1.05
POL000166,Insured YNIWEAZS,621111,Physician Offices,FL,South,41,1695061.26,4227687.93,14,1,1e+06,1000,0.9238,0.95
POL000167,Insured SLLPGBUM,812112,Beauty Salons,TX,South,45,5188686.51,21299489.6,5,3,5e+06,2500,0.7539,1.1
POL000168,Insured ASNVWCSR,452319,Retail,TX,South,27,1275868.21,3833106.84,29,1,5e+06,2500,1.244,1.05
POL000169,Insured UEHIIZLQ,722511,Restaurants,NY,Northeast,47,4342958.29,15477168.47,37,3,2e+06,2500,0.9472,1.15
POL000170,Insured JHOOTENG,611110,Schools,TX,South,24,2204042.18,4630397.58,24,0,2e+06,2500,0.9426,0.9
POL000171,Insured MUIJALGR,812112,Beauty Salons,NY,Northeast,12,1231324.93,4154808.39,9,2,1e+06,5000,1.6887,1.1
POL000172,Insured DKJMZFWQ,812112,Beauty Salons,WA,West,7,442367.42,1787395.81,3,0,5e+06,1000,0.7838,1.1
POL000173,Insured SHAXEPQJ,236220,Construction,WA,West,26,2276427.72,8941666.26,35,0,2e+06,5000,0.783,1.35
POL000174,Insured JNTQUICV,452319,Retail,WA,West,16,1604165.74,3692248.06,8,0,1e+06,5000,0.8941,1.05
POL000175,Insured XEJQIWAM,621111,Physician Offices,NY,Northeast,4,330241.71,1328982.18,10,1,1e+06,1000,1.1742,0.95
POL000176,Insured ARYYFETT,621111,Physician Offices,TX,South,8,741831.21,2348612.65,10,3,1e+06,2500,0.7298,0.95
POL000177,Insured PYJSGYQN,621111,Physician Offices,WA,West,34,1782311.41,4754357.19,21,0,1e+06,5000,0.9273,0.95
POL000178,Insured HIRALJTK,541330,Engineering Services,IL,Midwest,16,1187494.2,4917036.51,26,3,1e+06,5000,1.0981,0.85
POL000179,Insured TAGOVXRL,541330,Engineering Services,PA,Northeast,14,1221622.22,4795232.44,21,0,1e+06,1000,1.166,0.85
POL000180,Insured YUKULRPI,611110,Schools,NY,Northeast,17,1157925.58,3594845.23,6,0,2e+06,1000,1.0143,0.9
POL000181,Insured PWIIZJSQ,611110,Schools,GA,South,15,971872.29,2786010.44,61,0,1e+06,2500,1.0054,0.9
POL000182,Insured MYWPJBNM,611110,Schools,TX,South,97,9405863.55,39976701.58,10,0,1e+06,10000,0.7354,0.9
POL000183,Insured TWXYJPXK,611110,Schools,PA,Northeast,17,1867642.65,8210353.44,7,1,2e+06,2500,1.1569,0.9
POL000184,Insured CTNBQABW,236220,Construction,CA,West,12,992318.7,3555331.3,12,1,2e+06,5000,1.2694,1.35
POL000185,Insured DNGXHKCC,452319,Retail,FL,South,6,516051.99,1362780.15,6,1,2e+06,10000,1.4699,1.05
POL000186,Insured GTOUBRZT,621111,Physician Offices,WA,West,8,589396.31,989024.46,4,1,1e+06,5000,1.3087,0.95
POL000187,Insured ZLNKIELT,541330,Engineering Services,CA,West,8,719325.34,1369810.16,17,0,2e+06,2500,1.4472,0.85
POL000188,Insured QUXKACTQ,452319,Retail,TX,South,10,1204731.32,1859378.37,41,3,1e+06,5000,0.7842,1.05
POL000189,Insured HVYQTDBH,541330,Engineering Services,TX,South,29,1825107.22,7953009.41,22,0,1e+06,1000,0.7324,0.85
POL000190,Insured HWUCEZLS,812112,Beauty Salons,FL,South,17,986424.44,2475471.73,8,1,5e+06,5000,1.3027,1.1
POL000191,Insured HESYZLQH,452319,Retail,IL,Midwest,50,4719737.89,19002881.55,13,2,5e+06,10000,0.7804,1.05
POL000192,Insured RVQRMOZQ,611110,Schools,FL,South,32,3065913.51,6601279.01,36,0,5e+06,5000,1.0295,0.9
POL000193,Insured XMPLPORB,541330,Engineering Services,NY,Northeast,14,1709643.14,5081054.5,12,0,2e+06,10000,1.3782,0.85
POL000194,Insured YQOFTJHE,541330,Engineering Services,NC,South,51,5057469.05,15295546.24,6,2,5e+06,2500,0.627,0.85
POL000195,Insured GDOCLUFZ,812112,Beauty Salons,WA,West,8,525625.26,1411371.32,19,2,2e+06,5000,1.0454,1.1
POL000196,Insured FSTIVGDA,452319,Retail,WA,West,15,1247751.81,5403012.46,21,0,5e+06,5000,1.2744,1.05
POL000197,Insured VGVVVWAJ,722511,Restaurants,NY,Northeast,32,2232550.69,4296652.64,8,0,1e+06,10000,1.6694,1.15
POL000198,Insured BXJAFMDD,611110,Schools,CA,West,17,1087899.77,2915316.91,57,0,2e+06,2500,1.1221,0.9
POL000199,Insured ZQYNMTPW,541330,Engineering Services,FL,South,56,5902586.6,13482722.67,20,0,2e+06,1000,1.9441,0.85
POL000200,Insured UZAITUIV,812112,Beauty Salons,WA,West,56,5428224.98,10453982.51,13,0,2e+06,2500,0.8297,1.1
POL000201,Insured KFPRJPVK,541330,Engineering Services,CA,West,139,5946369.48,17995258.64,3,2,1e+06,10000,0.9002,0.85
POL000202,Insured PJDCFTJL,621111,Physician Offices,FL,South,31,3545923.93,13361191.99,18,1,1e+06,2500,1.3866,0.95
POL000203,Insured GKVKWNGO,722511,Restaurants,NY,Northeast,14,1364934.03,3395248.44,5,0,5e+06,1000,1.2604,1.15
POL000204,Insured LGNQXJKV,722511,Restaurants,CA,West,15,1583484.66,2448124.53,6,1,2e+06,10000,0.9925,1.15
POL000205,Insured GGXOKIBT,621111,Physician Offices,NC,South,22,1996768.92,7934242.45,13,0,1e+06,1000,0.5812,0.95
POL000206,Insured VUJLSDTF,611110,Schools,WA,West,94,10778187.26,25647176.02,17,1,1e+06,25000,1.2933,0.9
POL000207,Insured UTIUILFC,541330,Engineering Services,GA,South,24,2142860.19,8482406.51,8,1,1e+06,1000,0.7491,0.85
POL000208,Insured CSSRHFYC,611110,Schools,NY,Northeast,53,5102123.16,10062894.36,24,0,1e+06,2500,0.8843,0.9
POL000209,Insured JQSQKWXR,621111,Physician Offices,CA,West,53,2088940.62,8240148.22,18,1,2e+06,2500,0.6155,0.95
