policy_id,year,exposure,payroll
POL000063,2023,0.854,233412.53
POL000063,2024,0.959,242079.62
POL000064,2024,0.962,3093796.66
POL000065,2019,0.972,1224471.14
POL000065,2020,0.834,1193391.04
POL000065,2021,0.964,1258398.43
POL000066,2023,0.653,5948441.47
POL000066,2024,0.859,6102427.21
POL000067,2020,0.96,2119185.92
POL000067,2021,0.736,2033656.84
POL000067,2022,0.812,2017481.21
POL000068,2019,0.98,4227987.83
POL000068,2020,0.909,4039670.12
POL000069,2020,0.659,1848596.16
POL000069,2021,0.918,1715248.62
POL000070,2024,0.871,774923.29
POL000071,2023,0.78,2403126.56
POL000072,2024,0.732,3690211.56
POL000073,2019,0.781,1310462.98
POL000074,2020,0.677,5343366.48
POL000074,2021,0.621,5075706.27
POL000075,2021,0.745,2036214.72
POL000075,2022,0.744,2038197.13
POL000076,2024,0.73,10903163.08
POL000077,2019,0.756,1823698.68
POL000077,2020,0.994,1761453.64
POL000077,2021,0.706,1684832.24
POL000078,2019,0.855,1895692.76
POL000079,2021,0.609,1891608.39
POL000079,2022,0.95,1825418.66
POL000080,2019,0.785,4734211.95
POL000081,2019,0.932,755229.49
POL000081,2020,0.762,687136.82
POL000081,2021,0.941,758556.7
POL000082,2024,0.674,2629537.61
POL000083,2018,0.755,1320603.09
POL000083,2019,0.605,1349857.73
POL000083,2020,0.74,1306834.55
POL000084,2020,0.918,2573921.28
POL000084,2021,0.842,2743838.33
POL000084,2022,0.807,2738996.76
POL000084,2023,0.818,2699818.53
POL000085,2018,0.89,2086852.8
POL000085,2019,0.797,2072565.18
POL000086,2023,0.734,6166478.62
POL000087,2020,0.879,2102295.7
POL000087,2021,0.902,2157148.24
POL000088,2019,0.865,4275500.86
POL000088,2020,0.975,4072978.19
POL000089,2021,0.721,5291977.81
POL000089,2022,0.746,5304594.26
POL000089,2023,0.92,5605401.79
POL000089,2024,0.716,5402845.74
POL000090,2019,0.897,2359844.06
POL000091,2024,0.774,3799759.8
POL000092,2022,0.628,705932.49
POL000092,2023,0.982,775927.81
POL000093,2024,0.662,1051026.75
POL000094,2022,0.933,444593.22
POL000094,2023,0.774,482644.65
POL000095,2022,0.619,631298.01
POL000095,2023,0.929,573714.58
POL000095,2024,0.644,589420.23
POL000096,2020,0.962,3754500.68
POL000097,2024,0.925,4200988.87
POL000098,2023,0.755,2787835.3
POL000099,2020,0.614,14832527.34
POL000099,2021,0.765,13719025.3
POL000100,2022,0.635,708689.02
POL000101,2021,0.848,4559552.72
POL000101,2022,0.953,4296443.65
POL000102,2023,0.619,468781.33
POL000102,2024,0.882,452679.9
POL000103,2019,0.713,399385.93
POL000103,2020,0.743,381918.44
POL000103,2021,0.756,407690.66
POL000104,2019,0.776,2084614.01
POL000104,2020,0.846,2077654.13
POL000104,2021,0.771,2287560.95
POL000104,2022,0.88,2220992.4
POL000105,2019,0.689,9353714.31
POL000105,2020,0.809,9768204.93
POL000105,2021,0.677,9309886.82
POL000106,2020,0.89,3449125.83
POL000106,2021,0.604,3712783.48
POL000107,2018,0.951,1302408.17
POL000107,2019,0.74,1298647.09
POL000108,2020,0.604,3642925.04
POL000108,2021,0.782,4023419.18
POL000108,2022,0.634,4031553.65
POL000108,2023,0.951,3955591.23
POL000109,2021,0.985,863023.15
POL000109,2022,0.865,853780.57
POL000110,2023,0.979,657049.98
POL000110,2024,0.802,616868.96
POL000111,2024,0.943,1012490.11
POL000112,2022,0.857,2930338
POL000113,2018,0.61,3489167.04
POL000113,2019,0.741,3605460.65
POL000113,2020,0.802,3484851.51
POL000113,2021,0.672,3875926.33
POL000114,2023,0.856,7312691.46
POL000114,2024,0.931,7300349.1
POL000115,2019,0.889,2294797.16
POL000115,2020,0.962,2197365.97
POL000115,2021,0.875,2031724.95
POL000116,2024,0.781,279877.49
POL000117,2021,0.653,3743820.86
POL000118,2023,0.724,1234497.87
POL000118,2024,0.947,1196865.15
POL000119,2020,0.732,1106797.48
POL000119,2021,0.948,1101115.89
POL000119,2022,0.795,1228143.45
POL000120,2019,0.62,2879350.5
POL000120,2020,0.776,2993478.37
POL000121,2022,0.699,1724551.95
POL000122,2022,0.7,605144.63
POL000123,2019,0.607,1256309.09
POL000123,2020,0.827,1419699.43
POL000124,2022,0.943,1440115.47
POL000125,2023,0.65,952107.55
POL000126,2021,0.622,422669.07
POL000126,2022,0.874,390079.7
POL000126,2023,0.861,415198.05
POL000127,2019,0.806,3852570.73
POL000127,2020,0.63,3871999.45
POL000128,2023,0.664,1425153.78
POL000128,2024,0.875,1325603.3
POL000129,2020,0.629,1183555.42
POL000129,2021,0.91,1240230.92
POL000130,2023,0.97,257661.33
POL000130,2024,0.638,273499.39
POL000131,2021,0.676,6278780.09
POL000132,2023,0.7,1728489.8
POL000132,2024,0.693,1701266.4
POL000133,2024,0.944,313379.84
POL000134,2023,0.851,1131717.1
POL000134,2024,0.725,1135724.88
POL000135,2021,0.647,3215725.22
POL000135,2022,0.737,3313600.36
POL000136,2022,0.737,1437898.42
POL000137,2020,0.918,386602.2
POL000137,2021,0.658,414172.64
POL000137,2022,0.969,372702.71
POL000138,2018,0.934,1750401.21
POL000139,2019,0.822,4185548.8
POL000139,2020,0.632,4227710.76
POL000139,2021,0.631,3951140.34
POL000140,2023,0.89,1900624.5
POL000141,2018,0.83,1857419.27
POL000142,2023,0.944,1402751.03
POL000142,2024,0.843,1416384.42
POL000143,2019,0.78,884363.15
POL000143,2020,0.837,848182.09
POL000143,2021,0.93,884108.49
POL000144,2022,0.64,4009221.65
POL000144,2023,0.846,3799028.26
POL000145,2022,0.698,476796.18
POL000146,2023,0.843,2522168.14
POL000146,2024,0.71,2437704.53
POL000147,2022,0.743,1935224.98
POL000147,2023,0.993,1864751.51
POL000147,2024,0.83,2022897.43
POL000148,2022,0.983,9864425
POL000149,2024,0.833,1092428.12
POL000150,2021,0.717,7899065.62
POL000150,2022,0.903,8248842.19
POL000150,2023,0.887,8393288.43
POL000150,2024,0.887,8004196.04
POL000151,2019,0.706,2010977.13
POL000151,2020,0.652,2321948.41
POL000152,2022,0.85,739808.67
POL000152,2023,0.752,762378.5
POL000152,2024,0.623,752621.22
POL000153,2022,0.849,2383610.34
POL000154,2021,0.977,484626.25
POL000154,2022,0.743,440035.38
POL000154,2023,0.906,492830.93
POL000154,2024,0.673,497706.11
POL000155,2022,0.726,1142478.46
POL000155,2023,0.855,1145826.22
POL000155,2024,0.934,1136416.67
POL000156,2024,0.981,1801930.53
POL000157,2023,0.611,722856.35
POL000157,2024,0.636,794784.69
POL000158,2023,0.989,752426.97
POL000158,2024,0.713,796339.74
POL000159,2018,0.689,6252971.83
POL000159,2019,0.937,6628180.21
POL000159,2020,0.626,7019716.97
POL000159,2021,0.708,6492823.23
POL000160,2020,0.97,726951.15
POL000161,2024,0.705,1478106.24
POL000162,2022,0.647,1874875.84
POL000162,2023,0.772,1874484.17
POL000162,2024,0.949,2105816.64
POL000163,2020,0.904,1523218.61
POL000163,2021,0.942,1487726.99
POL000163,2022,0.967,1637524.8
POL000163,2023,0.917,1465839.22
POL000164,2018,0.847,536006.29
POL000164,2019,0.646,530019.96
POL000165,2018,0.708,7376779.51
POL000165,2019,0.743,7674790.96
POL000166,2023,0.633,1688948.29
POL000167,2021,0.658,5614099.68
POL000167,2022,0.719,5372494.08
POL000168,2021,0.755,1385626.62
POL000168,2022,0.997,1297255.51
POL000169,2021,0.766,4486460.56
POL000169,2022,0.92,4469507.14
POL000170,2022,0.809,2366299.68
POL000170,2023,0.914,2146443.35
POL000171,2018,0.979,1293719.75
POL000172,2024,0.752,467028.66
POL000173,2021,0.817,2189730.56
POL000174,2019,0.772,1563355.35
POL000175,2022,0.672,352666.35
POL000176,2024,0.85,758528.52
POL000177,2020,0.919,1871789.09
POL000178,2018,0.627,1248107.78
POL000179,2024,0.601,1337982.95
POL000180,2023,0.78,1179436.74
POL000180,2024,0.612,1259028.15
POL000181,2024,0.706,1009303.48
POL000182,2018,0.9,9572767.38
POL000182,2019,0.863,9357885.96
POL000182,2020,0.965,9656184.7
POL000182,2021,0.998,9835335.68
POL000183,2023,0.956,1880643.13
POL000183,2024,0.914,1997562.33
POL000184,2024,0.892,958639.54
POL000185,2021,0.912,531145.21
POL000186,2019,0.631,615299.8
POL000187,2023,0.978,771601.66
POL000188,2021,0.79,1185892.86
POL000188,2022,0.883,1218996.94
POL000189,2018,0.971,1787018.34
POL000189,2019,0.844,2005469.09
POL000190,2022,0.699,1079994.85
POL000190,2023,0.79,945668.56
POL000191,2020,0.947,4885109.25
POL000192,2020,0.775,3255135.17
POL000192,2021,0.844,3231222.2
POL000193,2020,0.903,1667006.24
POL000194,2024,0.829,5121294.13
POL000195,2019,0.7,565201.36
POL000195,2020,0.886,559315.86
POL000196,2024,0.981,1255228.38
POL000197,2018,0.84,2163082.94
POL000198,2018,0.905,1080318.11
POL000198,2019,0.7,1096990.58
POL000198,2020,0.892,1173463.95
POL000199,2021,0.89,6490685.33
POL000199,2022,0.872,6216652.89
POL000199,2023,0.903,6146782.45
POL000199,2024,0.727,6111265.3
POL000200,2018,0.865,5478670.05
POL000200,2019,0.643,5549470.51
POL000201,2023,0.741,6134171.03
POL000201,2024,0.829,5700794.69
POL000202,2019,0.856,3477623.54
POL000202,2020,0.798,3630020.07
POL000203,2021,0.625,1382651.44
POL000203,2022,0.648,1381272.71
POL000204,2021,0.8,1701931.66
POL000205,2024,0.658,2047081.21
POL000206,2023,0.895,10608965.47
POL000206,2024,0.73,10912614.5
POL000207,2019,0.745,2082947.36
POL000207,2020,0.614,2331465.93
POL000208,2024,0.893,5085502.66
POL000209,2021,0.985,2082502.74
POL000210,2022,0.753,909288.24
POL000210,2023,0.77,861817.42
POL000210,2024,0.627,871092.74
POL000211,2024,0.855,810433.11
POL000212,2022,0.922,2414883.33
POL000213,2024,0.619,1810420.65
POL000214,2018,0.868,956077.66
POL000214,2019,0.737,895859.36
POL000215,2018,0.877,4937329.54
POL000215,2019,0.67,5249908.64
POL000215,2020,0.871,4746408.15
POL000215,2021,0.659,5431625.42
POL000216,2020,0.824,4293288.35
POL000217,2020,0.634,1012182.58
POL000217,2021,0.721,1061376.64
POL000217,2022,0.785,1112393.46
POL000217,2023,0.893,1111306.08
POL000218,2022,0.723,756373.37
POL000219,2020,0.677,1672174.12
POL000219,2021,0.721,1619352.78
POL000220,2019,0.614,4456006.27
POL000220,2020,0.914,4911305.18
POL000221,2020,0.772,4205662.88
POL000221,2021,0.985,4335634.15
POL000222,2022,0.843,673566.17
POL000222,2023,0.624,678198.46
POL000223,2018,0.672,662312.69
POL000223,2019,0.644,664856.05
POL000223,2020,0.834,634667.19
POL000224,2022,0.989,369831.93
POL000225,2019,0.641,5488798.2
POL000225,2020,0.877,5337949.87
POL000225,2021,0.668,5216465.06
POL000226,2024,0.672,1895416.84
POL000227,2019,0.859,555786.28
POL000227,2020,0.668,534659.26
POL000227,2021,0.844,563640.69
POL000228,2023,0.672,1766511.35
POL000228,2024,0.942,1818073.05
POL000229,2022,0.705,237545.79
POL000229,2023,0.912,230167.96
POL000230,2019,0.873,4103733.21
POL000230,2020,0.81,4611999.49
POL000231,2022,0.652,1703705.46
POL000232,2020,0.989,1246984.66
POL000233,2019,0.742,845804.75
POL000233,2020,0.658,883076.62
POL000233,2021,0.699,919840.96
POL000234,2018,0.626,3019850.56
POL000234,2019,0.81,3348216.01
POL000234,2020,0.661,3295431.35
POL000234,2021,0.708,3136414.65
POL000235,2020,0.696,1063991.26
POL000236,2021,0.62,490952.81
POL000237,2020,0.69,9684591.01
POL000237,2021,0.907,9092929.95
POL000238,2021,0.964,1554138
POL000238,2022,0.995,1557706.81
POL000238,2023,0.682,1420128.42
POL000238,2024,0.796,1449840.55
POL000239,2020,0.826,6315718.86
POL000239,2021,0.701,5899405.82
POL000240,2020,0.846,3240955.62
POL000240,2021,0.863,2973708.94
POL000240,2022,0.895,3323745.57
POL000241,2021,0.859,4026891.36
POL000242,2018,0.821,10143028.46
POL000243,2023,0.779,1837377.73
POL000243,2024,0.965,1885567.49
POL000244,2019,0.996,997285.47
POL000244,2020,0.845,993660.43
POL000245,2022,0.949,1560081.2
POL000245,2023,0.961,1713458.86
POL000245,2024,0.692,1659818.72
POL000246,2019,0.633,5145906.83
POL000246,2020,0.616,5674776.19
POL000246,2021,0.727,5247869.52
POL000247,2021,0.838,7734911.64
POL000247,2022,0.79,7162390.28
POL000248,2020,0.716,1297321.57
POL000248,2021,0.928,1153340.66
POL000248,2022,0.622,1257212.58
POL000249,2022,0.78,2619935.37
POL000250,2022,0.792,1557219.32
POL000250,2023,0.739,1432127.05
POL000250,2024,0.686,1561076.25
POL000251,2024,0.735,8648638.92
POL000252,2021,0.868,2713328.48
POL000252,2022,0.642,2644098.16
POL000252,2023,0.687,2660997.05
POL000252,2024,0.765,2896654.22
POL000253,2024,0.826,2110812.3
POL000254,2020,0.816,5338865.4
POL000254,2021,0.626,5046099.59
POL000255,2018,0.772,1728049.54
POL000256,2019,0.955,4145967.81
POL000256,2020,0.65,4024996.76
POL000256,2021,0.971,4097110.23
POL000256,2022,0.676,3919876.15
POL000257,2020,0.737,1032846.58
POL000258,2020,0.716,633656.59
POL000258,2021,0.996,631835.11
POL000258,2022,0.904,616136.75
POL000259,2023,0.76,2094691.93
POL000259,2024,0.627,1965001.36
POL000260,2023,0.969,3030567.94
POL000260,2024,0.7,3329094.37
POL000261,2022,0.711,3951649.27
POL000261,2023,0.774,3935885.37
POL000261,2024,0.757,3553462.96
POL000262,2023,0.92,1076974.2
POL000262,2024,0.678,981320.13
POL000263,2021,0.78,26797947.98
POL000263,2022,0.757,24268363.91
POL000264,2023,0.649,3877133.32
POL000265,2024,0.708,2611955.83
POL000266,2020,0.6,6604329.26
POL000266,2021,0.645,5775903.8
POL000266,2022,0.847,6585905.07
POL000266,2023,0.616,6474989.41
POL000267,2020,0.964,5892915.56
POL000268,2021,0.636,1638969.95
POL000269,2021,0.808,2702847.37
POL000270,2018,0.858,5260682.24
POL000271,2019,0.723,748205.88
POL000271,2020,0.694,684730.87
POL000271,2021,0.646,703057.93
POL000272,2018,0.732,1201252.6
POL000273,2023,0.838,2417100.18
POL000273,2024,0.765,2550602.26
POL000274,2024,0.719,1518875.12
POL000275,2023,1,1042121.36
POL000275,2024,0.819,1026933.58
POL000276,2023,0.623,290878.51
POL000276,2024,0.966,270277.17
POL000277,2018,0.626,2654081.04
POL000277,2019,0.995,2895633.4
POL000278,2024,0.77,512440.82
POL000279,2018,0.942,2682398.03
POL000279,2019,0.806,2862509.24
POL000279,2020,0.697,2892144.47
POL000280,2024,0.735,1480573.28
POL000281,2024,0.981,1172593.55
POL000282,2020,0.994,1317120.3
POL000283,2022,0.761,588887.5
POL000283,2023,0.664,588036.82
POL000284,2020,0.705,2814261.4
POL000285,2022,0.72,1837640.63
POL000286,2020,0.885,2403213.23
POL000286,2021,0.723,2674824.26
POL000287,2024,0.8,2478085.75
POL000288,2022,0.62,305978.72
POL000288,2023,0.807,308998.05
POL000288,2024,0.986,305276.43
POL000289,2018,0.767,7374054.23
POL000289,2019,0.971,7883043.85
POL000290,2020,0.777,612113.36
POL000291,2020,0.971,14151297.49
POL000292,2019,0.806,2718129.49
POL000292,2020,0.845,2580927.21
POL000293,2018,0.611,3357100.92
POL000294,2024,0.864,4687751.04
POL000295,2020,0.718,1444098
POL000295,2021,0.88,1564373.83
POL000296,2018,0.801,9091215.01
POL000296,2019,0.981,8751419.25
POL000297,2019,0.761,3927241.07
POL000297,2020,0.874,3507600.16
POL000297,2021,0.765,3545792.2
POL000298,2020,0.862,3351423.55
POL000299,2020,0.625,648506.88
POL000299,2021,0.839,662769.84
POL000300,2022,0.985,5969422.5
POL000301,2022,0.901,110341.41
POL000301,2023,0.851,118630.41
POL000301,2024,0.972,117816.74
POL000302,2023,0.89,2241769.86
POL000302,2024,0.664,2358208.32
POL000303,2022,0.987,1668833.73
POL000304,2022,0.847,3023271.66
POL000305,2020,0.781,1242613.9
POL000305,2021,0.806,1205258.31
POL000306,2021,0.73,2487339.88
POL000307,2019,0.61,1537091.46
POL000307,2020,0.747,1458585.75
POL000308,2024,0.674,741062.87
POL000309,2021,0.992,2847086.75
POL000309,2022,0.928,2749045.76
POL000309,2023,0.923,2738971.01
POL000310,2022,0.635,2035198.22
POL000310,2023,0.624,2306687.05
POL000310,2024,0.726,2286729.16
POL000311,2021,0.939,1141453.82
POL000312,2021,0.736,1459573.97
POL000313,2018,0.601,3248630.76
POL000313,2019,0.88,3366268.52
POL000313,2020,0.77,3190363.53
POL000314,2021,0.719,1649025.89
POL000315,2018,0.778,2981047.51
POL000315,2019,0.891,3076456.29
POL000316,2018,0.698,8926324.56
POL000317,2021,0.855,3196420.45
POL000317,2022,0.665,3534688.35
POL000317,2023,0.811,3459907.1
POL000318,2018,0.892,1538936.62
POL000319,2022,0.643,5092745.36
POL000320,2023,0.666,3135933.32
POL000320,2024,0.969,3389775.54
POL000321,2023,0.774,3157575.1
POL000321,2024,0.713,2786933.64
POL000322,2022,0.748,1667703.12
POL000323,2018,0.963,1908510.98
POL000323,2019,0.731,1877344.91
POL000324,2018,0.883,1516495.69
POL000324,2019,0.804,1354035.19
POL000324,2020,0.749,1374189.04
POL000325,2022,0.802,2153239.4
POL000325,2023,0.815,2045825.62
POL000325,2024,0.979,2145762.68
POL000326,2019,0.628,2517974.52
POL000326,2020,0.876,2510171.68
POL000327,2018,0.972,336780.12
POL000327,2019,0.777,329541.81
POL000327,2020,0.61,352635.84
POL000328,2022,0.811,1165556.67
POL000329,2020,0.831,3262914.17
POL000329,2021,0.778,3122919.69
POL000330,2019,0.816,10829810.41
POL000331,2023,0.944,12126610.25
POL000332,2019,0.734,2806930.16
POL000332,2020,0.603,2720688.72
POL000333,2019,0.84,570298.91
POL000334,2021,0.632,7337853.14
POL000335,2024,0.785,3838173.55
POL000336,2020,0.798,6792885.34
POL000336,2021,0.768,6610786.61
POL000337,2020,0.655,6339338.03
POL000338,2024,0.866,5505696.78
POL000339,2020,0.846,2592404.46
POL000340,2019,0.693,726805.69
POL000340,2020,0.901,799568.77
POL000340,2021,0.81,761429.41
POL000340,2022,0.643,768955.7
POL000341,2024,0.702,2810201.89
POL000342,2019,0.904,626549.12
POL000343,2021,0.985,1133921.67
POL000343,2022,0.7,992943.76
POL000343,2023,0.926,1048603.11
POL000343,2024,0.818,1040862.56
POL000344,2023,0.707,1738642.76
POL000344,2024,0.944,1648555.02
POL000345,2022,0.722,2160640.97
POL000345,2023,0.641,2155516.04
POL000345,2024,0.863,1950958.56
POL000346,2021,0.654,4963576.75
POL000346,2022,0.829,5124716.55
POL000347,2024,0.645,855616.44
POL000348,2019,0.797,529145.44
POL000348,2020,0.663,528626.58
POL000349,2021,0.73,650219.72
POL000350,2022,0.619,752317.43
POL000350,2023,0.751,755927.88
POL000351,2021,0.809,4421359.63
POL000351,2022,0.757,4371606.76
POL000352,2022,0.638,2932357.18
POL000353,2021,0.7,708260.34
POL000353,2022,0.872,773839.01
POL000353,2023,0.814,770288.83
POL000354,2021,0.948,3178464.05
POL000354,2022,0.841,3257827.52
POL000355,2018,0.997,978543.34
POL000356,2018,0.868,935491.17
POL000356,2019,0.823,949092.85
POL000357,2019,0.802,5753561.95
POL000357,2020,0.709,6565439.85
POL000358,2020,0.673,2423012.61
POL000359,2020,0.788,919528.38
POL000359,2021,0.929,890506.3
POL000359,2022,0.814,837234.89
POL000360,2019,0.72,2501956.51
POL000360,2020,0.705,2410220.07
POL000361,2019,0.915,1072976.99
POL000361,2020,0.796,1088403.18
POL000362,2023,0.824,5325974.62
POL000362,2024,0.954,5950740.19
POL000363,2023,0.958,3160609.57
POL000363,2024,0.946,2997436.35
POL000364,2022,0.84,399480.83
POL000364,2023,0.826,371155.68
POL000364,2024,0.777,408337.02
POL000365,2021,0.701,1497880.77
POL000365,2022,0.793,1377049.76
POL000366,2022,0.951,1243483.69
POL000366,2023,0.641,1295321.3
POL000367,2022,0.993,4457986.81
POL000368,2021,0.679,10521648.09
POL000369,2022,0.716,1269382.95
POL000369,2023,0.734,1393987.04
POL000369,2024,0.879,1236774.8
POL000370,2020,0.839,3742322.46
POL000371,2023,0.823,820712.26
POL000371,2024,0.629,868702.59
POL000372,2022,0.861,2081062.08
POL000373,2018,0.667,664441.65
POL000373,2019,0.754,594514.25
POL000374,2020,0.981,3091885.34
POL000374,2021,0.648,3019138.78
POL000375,2020,0.979,4108751.81
POL000375,2021,0.984,3868186.44
POL000375,2022,0.919,4046731.97
POL000375,2023,0.944,3703682.05
POL000376,2020,0.972,2459405.22
POL000376,2021,0.919,2601546.07
POL000377,2021,0.945,1733807.26
POL000378,2024,0.613,2466584.02
POL000379,2023,0.751,1490796.11
POL000380,2024,0.854,2297833.64
POL000381,2021,0.814,2187091.67
POL000381,2022,0.964,2179932.99
POL000382,2020,0.8,3037826.3
POL000382,2021,0.86,2940847.9
POL000383,2020,0.968,1699917.19
POL000383,2021,0.806,1697865.49
POL000383,2022,0.662,1555536.39
POL000384,2018,0.977,4136573.83
POL000385,2019,0.974,4333649.03
POL000386,2020,0.846,3096086.19
POL000387,2018,0.631,7911966.18
POL000387,2019,0.925,7114284.49
POL000387,2020,0.994,7345618.31
POL000388,2019,0.751,2953006.37
POL000388,2020,0.813,3095309.75
POL000389,2021,0.715,337298.26
POL000390,2022,0.996,2062283.95
POL000391,2020,0.802,4011790.66
POL000392,2024,0.965,5039200.76
POL000393,2020,0.938,844967.68
POL000393,2021,0.666,894124.48
POL000394,2020,0.714,10267183.22
POL000394,2021,0.817,10918601.43
POL000395,2024,0.652,1571744.66
POL000396,2023,0.967,1882089.16
POL000396,2024,0.877,2042743.47
POL000397,2020,0.822,1392182.49
POL000398,2021,0.983,1474456.33
POL000398,2022,0.649,1685085.13
POL000399,2021,0.963,2524681.69
POL000400,2020,0.621,4906706.41
POL000400,2021,0.898,4829970.74
POL000400,2022,0.901,4907565.78
POL000401,2024,0.611,1554963.61
POL000402,2022,0.864,707042.57
POL000402,2023,0.786,672893.23
POL000403,2023,0.695,5386425.93
POL000403,2024,0.798,5270156.28
POL000404,2024,0.85,4687157.07
POL000405,2020,0.917,2043629.66
POL000406,2023,0.734,2304039.8
POL000406,2024,0.84,2211083.16
POL000407,2024,0.725,1257981.28
POL000408,2021,0.848,1079154.48
POL000408,2022,0.985,957678.7
POL000409,2022,0.838,816161.69
POL000409,2023,0.726,754791.31
POL000409,2024,0.89,840849.15
POL000410,2022,0.901,8718834.3
POL000410,2023,0.801,8496538.98
POL000410,2024,0.997,8504455
POL000411,2024,0.813,1419513.97
POL000412,2020,0.814,1679959.72
POL000412,2021,0.877,1643117.67
POL000412,2022,0.894,1604789.4
POL000413,2018,0.799,703713.12
POL000413,2019,0.86,681049.92
POL000414,2021,0.639,574825.92
POL000414,2022,0.979,537848.71
POL000415,2023,0.821,2200431.27
POL000416,2018,0.766,2303343.02
POL000416,2019,0.608,2403357.34
POL000416,2020,0.93,2225813.74
POL000416,2021,0.971,2389106.53
POL000417,2022,0.706,763362.5
POL000417,2023,0.715,697188.66
POL000418,2019,0.722,2845640.13
POL000418,2020,0.764,2941279.85
POL000419,2024,0.791,2472495.64
POL000420,2022,0.884,1411443.71
POL000420,2023,0.919,1393230.3
POL000420,2024,0.952,1489928.1
POL000421,2020,0.759,662967.72
POL000422,2020,0.684,3777259.29
POL000423,2022,0.852,3755120.91
POL000424,2018,0.842,1414419.94
POL000424,2019,0.781,1232137.46
POL000424,2020,0.739,1364763.13
POL000425,2023,0.665,2524430.46
POL000425,2024,0.739,2625569.66
POL000426,2019,0.945,1061197.93
POL000426,2020,0.728,1196192.03
POL000427,2021,0.62,5910625.99
POL000428,2024,0.95,1225566.03
POL000429,2023,0.905,1316790.03
